Category,Category_Size,Cosine_Similarity_Score
Stanford University Department of Classics faculty,2.0,0.7974058175973173
1898 establishments in Australia,2.0,0.7485321579563087
Films directed by Thomas Bentley,1.0,1.0000000000000002
Polk family,1.0,1.0000000000000002
1977 births,291.0,0.08708560294722048
1918 births,142.0,0.11892234472362108
21st- century American composers,8.0,0.43214500148327734
German Lutherans,11.0,0.4335637980298666
Jagjaguwar albums,3.0,0.5812283992505604
Compact cars,9.0,0.5495016324482089
Major generals of the Reichswehr,1.0,1.0000000000000002
Inuit writers,2.0,0.7999579031956786
Club Atlético Nueva Chicago footballers,7.0,0.5418375965125405
Scribe (publisher) books,1.0,1.0000000000000002
Taekwondo practitioners at the 2019 Pan American Games,2.0,0.706358703000443
2013 video games,9.0,0.5192126946391534
Criminal defense lawyers,4.0,0.5036283990777339
Agricultural buildings and structures on the National Register of Historic Places in Rhode Island,1.0,1.0
Flora of Chile striata,1.0,1.0000000000000004
Canadian Thoroughbred Horse of the Year,1.0,1.0000000000000002
Copper compounds,1.0,1.0
Deaths from pancreatic cancer,16.0,0.2738648041131406
1949 in Welsh sport,1.0,0.9999999999999999
Pre-Confederation Canadian businesspeople,3.0,0.6994650102113983
Norwegian theatre critics,1.0,0.9999999999999999
Pan American Games medalists in canoeing,5.0,0.7237215429412981
Finland–Norway border,1.0,1.0000000000000002
Judy Collins albums,1.0,0.9999999999999999
1967 deaths,91.0,0.14597541920302615
2013 deaths,189.0,0.10422742169075506
Defunct schools in Cumberland (unitary authority),1.0,1.0
Skiing in New Hampshire,1.0,0.9999999999999998
Monotypic moth genera,46.0,0.18939747792445735
Costa Rica men's under-20 international footballers,1.0,0.9999999999999996
1866 births,58.0,0.15584319731476515
South Florida Bulls women's basketball players,1.0,1.0000000000000002
Baseball players from Texas,19.0,0.3870415574048163
Taxa named by Charles Lucien Bonaparte,6.0,0.45527481760039973
Islamic Coalition Party politicians,2.0,0.8003566611436139
Chevaliers of the Ordre des Arts et des Lettres,12.0,0.37040429217321186
Girls' schools in Yangon,1.0,1.0
Royal Lincolnshire Regiment officers,2.0,0.8316292231392199
Films scored by K. Chakravarthy,8.0,0.3131497939686383
Paintings in the Musée Condé,1.0,0.9999999999999999
American football linebackers,84.0,0.228338295835034
Populated places in Kandahar Province,2.0,0.6686108921236674
Burials in Sokoto State,1.0,0.9999999999999999
American male non-fiction writers,140.0,0.20873369980191508
Friasian,3.0,0.6124234586397677
839 births,1.0,1.0000000000000002
Infant feeding,1.0,1.0000000000000002
Members of the 6th Parliament of Ceylon,5.0,0.6578430311416247
World Touring Car Championship drivers,4.0,0.5247321048103959
Washington Capitals draft picks,7.0,0.4308160867150375
Plays by Hermann Sudermann,1.0,1.0000000000000007
YES Network original programming,1.0,1.0
21st-century American non-fiction writers,55.0,0.24076774825013283
Greek expatriate footballers,17.0,0.3929460015665631
2007 LGBT-related literary works,2.0,0.7418537295886463
People from Medellín,5.0,0.42597695101026817
Companies based in Amsterdam,2.0,0.6517547158243242
Conservative Party (UK) MPs for English constituencies,85.0,0.2578840163517293
Boxers from Greater London,8.0,0.4188168236243718
La Trobe University alumni,3.0,0.719725231879162
Moths described in 1877,7.0,0.33705667276140905
2003 American television series endings,6.0,0.46790319094135957
Argentine male bobsledders,1.0,0.9999999999999999
Serie C players,88.0,0.2615632415161474
Saints from the Carolingian Empire,2.0,0.862786100614177
Living people,20984.0,0.05880989468138064
Monasteries in Myanmar,1.0,1.0000000000000002
American anti-communists,5.0,0.65524746885486
Clergy from Brno,1.0,0.9999999999999999
Sportspeople from Southend-on-Sea,1.0,1.0000000000000002
Music video compilation albums,13.0,0.2370053342289044
Ring roads in Russia,1.0,1.0000000000000002
"Writers from Palo Alto, California",1.0,1.0000000000000002
Townships in Illinois,39.0,0.3175157708847284
People of the C-byrån,3.0,0.7259519273186502
Macmillan Publishers books,11.0,0.42436809407934295
Symbols introduced in 1997,2.0,0.8173389612812048
1982 births,313.0,0.0840690635564334
21st- century British memoirists,1.0,0.9999999999999997
Methodist pacifists,1.0,1.0
19th-century American politicians,248.0,0.18123991157892566
People lost at sea,8.0,0.4842485697246345
Russian expatriate footballers,19.0,0.4413311084333901
Scottish footballers,156.0,0.2032773435510566
Sportspeople from California,4.0,0.45847128409192794
American roller skaters,1.0,1.0000000000000002
Medalists at the 1968 Summer Olympics,18.0,0.28849584102439707
Living people,20984.0,0.05880989468138064
Computer science awards,2.0,0.6840333136220895
2019 albums,31.0,0.1973442852024569
1725 deaths,7.0,0.3335661052084988
"National Register of Historic Places in Logan County, Oklahoma",1.0,1.0
Defunct political parties in Japan,3.0,0.7007086538625146
Living people,20984.0,0.05880989468138064
Airports established in 2021,1.0,1.0000000000000002
Russian nationalists,1.0,1.0000000000000004
Acrosyntaxis,1.0,1.0000000000000002
Austrian expatriate football managers,2.0,0.9051039033076744
"Stockbridge, Massachusetts",1.0,1.0000000000000002
1919 deaths,59.0,0.1724778029929596
Rugby union props,41.0,0.2260561324163565
Video game genres,4.0,0.5643807173838455
1949 births,319.0,0.09172178300851616
Articles created by Qbugbot,457.0,0.08217456606917507
Rugby clubs established in 1971,1.0,1.0000000000000002
Television episodes about telepathy,1.0,1.0000000000000002
Diptera of Europe,37.0,0.16948292671086246
Plants described in 1956,1.0,0.9999999999999987
Albums produced by Organized Noize,1.0,1.0000000000000004
Swedish companies established in 2007,1.0,1.0000000000000002
Airlines disestablished in 2012,2.0,0.7414622276094254
Brazilian men's futsal players,8.0,0.32006818481960286
"Houses in Sussex County, Delaware",1.0,1.0000000000000007
Cyclists at the 2015 European Games,9.0,0.4124356886083754
1863 deaths,25.0,0.26866678898312396
Musicians from Yerevan,2.0,0.7190873957024357
National League (English football) players,81.0,0.27249680605363674
1980 births,310.0,0.08755538955789592
Soviet composers,6.0,0.4188399947463754
PlayStation Studios,1.0,1.0
Minor league baseball venues,11.0,0.467740049374037
1970s Italian films,16.0,0.256112452320873
New religious movements,6.0,0.5188329899997421
Yugoslav male rowers,3.0,0.7866354577065204
Plays set in the 16th century,5.0,0.5173471865602691
Living people,20984.0,0.05880989468138064
Australian military personnel of the War in Afghanistan (2001–2021),2.0,0.8196470086133676
Organizations established in 1988,7.0,0.3940119552912887
2005 film awards,3.0,0.6649405999664103
Endemic flora of Sri Lanka,3.0,0.6547109246343679
Microeconometricians,1.0,1.0
French male badminton players,3.0,0.7118679388812102
2010s biographical films,6.0,0.4239260026536076
American hedge fund managers,4.0,0.5294799451395651
1150s deaths,2.0,0.774137676763341
1959 Australian television series debuts,3.0,0.6415190408681364
People from Woking,2.0,0.7701833210709464
Average,444.01,0.6417620647133434
